resume_text,label,job_title
actively collaborated in team settings using cocoa firebase xcode swift excel salesforce skills: cocoa firebase xcode swift,Software Development,iOS Developer
worked on several projects involving etl spark hadoop pyhton airflow accounting skills: etl spark hadoop python airflow,Data Engineering,Data Engineer
responsible for developing solutions using figma user testing prototyping wireframes accounting critical thinking skills: figma user testing prototyping wireframes,Design,UI/UX Designer
hands-on experience in swift xcode ui design firebase excel problem solving skills: swift xcode ui design firebase,Software Development,iOS Developer
hands-on experience in jenkins ci/cd docker aws linux kubernetes problem solving team player skills: jenkins ci/cd docker aws linux kubernetes,IT Infrastructure,DevOps Engineer
worked on several projects involving pandas slq matplotlib excel supply chain skills: pandas sql matplotlib excel,Data Science,Data Analyst
actively collaborated in team settings using swift ui design cocoa xcode firebase logistics skills: swift ui design cocoa xcode firebase,Software Development,iOS Developer
hands-on experience in jenkins aws ci/cd linux docker kubernetes leadership critical thinking skills: jenkins aws ci/cd linux docker kubernetes,IT Infrastructure,DevOps Engineer
responsible for developing solutions using matplotlib statistics pandas excel powerbi logistics team player skills: matplotlib statistics pandas excel powerbi,Data Science,Data Analyst
worked on several projects involving copywriting seo wordpress blogging communication skills: copywriting seo wordpress blogging,Content,Content Writer
hands-on experience in jvaa xml kotlin firebase content writing skills: java xml kotlin firebase,Software Development,Android Developer
responsible for developing solutions using grammar copywriting blogging wordpress supply chain problem solving skills: grammar copywriting blogging wordpress,Content,Content Writer
actively collaborated in team settings using prototyping figma xd user testing team player skills: prototyping figma xd user testing,Design,UI/UX Designer
hands-on experience in junit postman manual testing bugzilla accounting skills: junit postman manual testing bugzilla,Software QA,QA Tester
responsible for developing solutions using ci/cd aws jenkins kubernetes linux docker accounting excel skills: ci/cd aws jenkins kubernetes linux docker,IT Infrastructure,DevOps Engineer
responsible for developing solutions using onboarding employee relations hrms payroll logistics presentation skills skills: onboarding employee relations hrms payroll,HR,HR Specialist
hands-on experience in pandas numpy sklearn pyhton attention to detail content writing skills: pandas numpy sklearn python,Data Science,ML Engineer
hands-on experience in seo grammar blogging wordpress copywriting communication skills: seo grammar blogging wordpress copywriting,Content,Content Writer
worked on several projects involving excel financial modeling budgeting forecasting erp adaptability skills: excel financial modeling budgeting forecasting erp,Finance,Finance Analyst
worked on several projects involving erp excel financial modeling budgeting forecasting leadership attention to detail skills: erp excel financial modeling budgeting forecasting,Finance,Finance Analyst
hands-on experience in hrms payroll onboarding employee relations recruitment presentation skills adaptability skills: hrms payroll onboarding employee relations recruitment,HR,HR Specialist
responsible for developing solutions using user testing wireframes figma prototyping attention to detail skills: user testing wireframes figma prototyping,Design,UI/UX Designer
worked on several projects involving pandas keras numpy tensorflow pyhton sklearn content writing salesforce skills: pandas keras numpy tensorflow python sklearn,Data Science,ML Engineer
passionate about learning new technologies such as powerbi pandas matplotlib excel excel skills: powerbi pandas matplotlib excel,Data Science,Data Analyst
actively collaborated in team settings using hrms payroll recruitment employee relations onboarding content writing skills: hrms payroll recruitment employee relations onboarding,HR,HR Specialist
worked on several projects involving routing cisco vpn firewalls switching excel adaptability skills: routing cisco vpn firewalls switching,IT Infrastructure,Network Engineer
worked on several projects involving financial modeling forecasting erp budgeting excel salesforce skills: financial modeling forecasting erp budgeting excel,Finance,Finance Analyst
worked on several projects involving git docker pyhton linux presentation skills logistics skills: git docker python linux,Software Development,Backend Developer
actively collaborated in team settings using xd wireframes user testing figma communication skills: xd wireframes user testing figma,Design,UI/UX Designer
worked on several projects involving cs tailwind recat js typescript htlm adaptability skills: css tailwind react js typescript html,Design,Frontend Developer
passionate about learning new technologies such as xcode firebase swift ui design accounting excel skills: xcode firebase swift ui design,Software Development,iOS Developer
worked on several projects involving budgeting erp excel forecasting problem solving skills: budgeting erp excel forecasting,Finance,Finance Analyst
hands-on experience in git slq pyhton rest linux docker django presentation skills skills: git sql python rest linux docker django,Software Development,Backend Developer
worked on several projects involving aws linux docker ci/cd kubernetes presentation skills skills: aws linux docker ci/cd kubernetes,IT Infrastructure,DevOps Engineer
worked on several projects involving payroll employee relations onboarding recruitment salesforce skills: payroll employee relations onboarding recruitment,HR,HR Specialist
worked on several projects involving typescript express mongodb recat node docker excel supply chain skills: typescript express mongodb react node docker,Software Development,Full Stack Developer
hands-on experience in hrms employee relations payroll onboarding recruitment communication critical thinking skills: hrms employee relations payroll onboarding recruitment,HR,HR Specialist
worked on several projects involving docker mongodb node express recat typescript accounting salesforce skills: docker mongodb node express react typescript,Software Development,Full Stack Developer
passionate about learning new technologies such as django git slq linux pyhton rest attention to detail skills: django git sql linux python rest,Software Development,Backend Developer
responsible for developing solutions using xml kotlin firebase android studio problem solving skills: xml kotlin firebase android studio,Software Development,Android Developer
hands-on experience in keras numpy pyhton sklearn supply chain salesforce skills: keras numpy python sklearn,Data Science,ML Engineer
hands-on experience in tailwind htlm js typescript recat cs salesforce supply chain skills: tailwind html js typescript react css,Design,Frontend Developer
actively collaborated in team settings using routing switching cisco vpn firewalls content writing skills: routing switching cisco vpn firewalls,IT Infrastructure,Network Engineer
passionate about learning new technologies such as matplotlib pandas slq statistics powerbi excel attention to detail excel skills: matplotlib pandas sql statistics powerbi excel,Data Science,Data Analyst
actively collaborated in team settings using swift cocoa ui design xcode adaptability skills: swift cocoa ui design xcode,Software Development,iOS Developer
passionate about learning new technologies such as android studio jvaa xml kotlin firebase presentation skills skills: android studio java xml kotlin firebase,Software Development,Android Developer
worked on several projects involving linux docker jenkins ci/cd accounting critical thinking skills: linux docker jenkins ci/cd,IT Infrastructure,DevOps Engineer
actively collaborated in team settings using forecasting excel financial modeling budgeting erp attention to detail excel skills: forecasting excel financial modeling budgeting erp,Finance,Finance Analyst
responsible for developing solutions using tensorflow numpy sklearn pyhton excel problem solving skills: tensorflow numpy sklearn python,Data Science,ML Engineer
responsible for developing solutions using recat express typescript mongodb docker node attention to detail adaptability skills: react express typescript mongodb docker node,Software Development,Full Stack Developer
passionate about learning new technologies such as js htlm tailwind figma recat typescript cs team player attention to detail skills: js html tailwind figma react typescript css,Design,Frontend Developer
actively collaborated in team settings using hrms recruitment onboarding employee relations supply chain skills: hrms recruitment onboarding employee relations,HR,HR Specialist
responsible for developing solutions using numpy pyhton keras pandas excel skills: numpy python keras pandas,Data Science,ML Engineer
hands-on experience in switching firewalls vpn cisco content writing skills: switching firewalls vpn cisco,IT Infrastructure,Network Engineer
actively collaborated in team settings using git docker slq django pyhton rest linux leadership skills: git docker sql django python rest linux,Software Development,Backend Developer
worked on several projects involving linux slq pyhton rest django git docker leadership presentation skills skills: linux sql python rest django git docker,Software Development,Backend Developer
passionate about learning new technologies such as budgeting excel erp financial modeling critical thinking communication skills: budgeting excel erp financial modeling,Finance,Finance Analyst
actively collaborated in team settings using docker mongodb node typescript recat express excel skills: docker mongodb node typescript react express,Software Development,Full Stack Developer
hands-on experience in docker jenkins aws ci/cd linux kubernetes attention to detail team player skills: docker jenkins aws ci/cd linux kubernetes,IT Infrastructure,DevOps Engineer
worked on several projects involving user testing figma wireframes xd prototyping communication skills: user testing figma wireframes xd prototyping,Design,UI/UX Designer
responsible for developing solutions using rest linux docker pyhton git django presentation skills content writing skills: rest linux docker python git django,Software Development,Backend Developer
hands-on experience in user testing wireframes figma xd prototyping communication skills: user testing wireframes figma xd prototyping,Design,UI/UX Designer
hands-on experience in pandas powerbi matplotlib slq team player excel skills: pandas powerbi matplotlib sql,Data Science,Data Analyst
actively collaborated in team settings using payroll onboarding recruitment hrms communication skills: payroll onboarding recruitment hrms,HR,HR Specialist
actively collaborated in team settings using mongodb typescript recat docker express accounting skills: mongodb typescript react docker express,Software Development,Full Stack Developer
worked on several projects involving typescript js cs recat communication presentation skills skills: typescript js css react,Design,Frontend Developer
worked on several projects involving aws ci/cd kubernetes jenkins docker linux logistics skills: aws ci/cd kubernetes jenkins docker linux,IT Infrastructure,DevOps Engineer
hands-on experience in firebase xcode cocoa swift ui design team player logistics skills: firebase xcode cocoa swift ui design,Software Development,iOS Developer
worked on several projects involving keras pandas sklearn pyhton tensorflow content writing skills: keras pandas sklearn python tensorflow,Data Science,ML Engineer
passionate about learning new technologies such as docker linux ci/cd aws jenkins salesforce skills: docker linux ci/cd aws jenkins,IT Infrastructure,DevOps Engineer
actively collaborated in team settings using payroll onboarding employee relations recruitment leadership skills: payroll onboarding employee relations recruitment,HR,HR Specialist
worked on several projects involving pyhton hadoop spark etl team player content writing skills: python hadoop spark etl,Data Engineering,Data Engineer
passionate about learning new technologies such as figma user testing xd wireframes communication skills: figma user testing xd wireframes,Design,UI/UX Designer
passionate about learning new technologies such as node mongodb express docker typescript recat logistics skills: node mongodb express docker typescript react,Software Development,Full Stack Developer
worked on several projects involving spark etl pyhton airflow hadoop supply chain skills: spark etl python airflow hadoop,Data Engineering,Data Engineer
responsible for developing solutions using copywriting seo blogging wordpress grammar leadership skills: copywriting seo blogging wordpress grammar,Content,Content Writer
actively collaborated in team settings using jenkins linux docker ci/cd team player salesforce skills: jenkins linux docker ci/cd,IT Infrastructure,DevOps Engineer
hands-on experience in aws docker ci/cd linux adaptability skills: aws docker ci/cd linux,IT Infrastructure,DevOps Engineer
responsible for developing solutions using android studio jvaa firebase xml kotlin attention to detail excel skills: android studio java firebase xml kotlin,Software Development,Android Developer
passionate about learning new technologies such as forecasting excel budgeting erp financial modeling salesforce adaptability skills: forecasting excel budgeting erp financial modeling,Finance,Finance Analyst
worked on several projects involving recat express node typescript mongodb docker problem solving skills: react express node typescript mongodb docker,Software Development,Full Stack Developer
actively collaborated in team settings using recruitment payroll employee relations onboarding hrms leadership critical thinking skills: recruitment payroll employee relations onboarding hrms,HR,HR Specialist
responsible for developing solutions using django rest git pyhton docker linux communication salesforce skills: django rest git python docker linux,Software Development,Backend Developer
hands-on experience in firebase ui design cocoa swift xcode problem solving adaptability skills: firebase ui design cocoa swift xcode,Software Development,iOS Developer
passionate about learning new technologies such as wireframes xd user testing figma prototyping adaptability skills: wireframes xd user testing figma prototyping,Design,UI/UX Designer
responsible for developing solutions using wordpress blogging seo grammar supply chain skills: wordpress blogging seo grammar,Content,Content Writer
actively collaborated in team settings using routing firewalls switching vpn cisco communication skills: routing firewalls switching vpn cisco,IT Infrastructure,Network Engineer
hands-on experience in prototyping wireframes user testing xd salesforce skills: prototyping wireframes user testing xd,Design,UI/UX Designer
responsible for developing solutions using recat typescript htlm figma js tailwind adaptability logistics skills: react typescript html figma js tailwind,Design,Frontend Developer
hands-on experience in firewalls routing cisco vpn switching attention to detail problem solving skills: firewalls routing cisco vpn switching,IT Infrastructure,Network Engineer
hands-on experience in linux docker ci/cd jenkins kubernetes aws attention to detail salesforce skills: linux docker ci/cd jenkins kubernetes aws,IT Infrastructure,DevOps Engineer
passionate about learning new technologies such as kotlin xml android studio jvaa firebase attention to detail skills: kotlin xml android studio java firebase,Software Development,Android Developer
passionate about learning new technologies such as cocoa swift xcode ui design excel leadership skills: cocoa swift xcode ui design,Software Development,iOS Developer
hands-on experience in recruitment employee relations payroll hrms salesforce skills: recruitment employee relations payroll hrms,HR,HR Specialist
actively collaborated in team settings using pyhton docker rest linux django git slq supply chain team player skills: python docker rest linux django git sql,Software Development,Backend Developer
actively collaborated in team settings using pyhton tensorflow numpy keras sklearn presentation skills skills: python tensorflow numpy keras sklearn,Data Science,ML Engineer
passionate about learning new technologies such as htlm cs recat tailwind presentation skills problem solving skills: html css react tailwind,Design,Frontend Developer
hands-on experience in user testing prototyping wireframes xd content writing skills: user testing prototyping wireframes xd,Design,UI/UX Designer
passionate about learning new technologies such as pyhton slq spark airflow communication leadership skills: python sql spark airflow,Data Engineering,Data Engineer
actively collaborated in team settings using sklearn pyhton pandas numpy salesforce accounting skills: sklearn python pandas numpy,Data Science,ML Engineer
passionate about learning new technologies such as js typescript recat tailwind accounting skills: js typescript react tailwind,Design,Frontend Developer
worked on several projects involving figma wireframes xd prototyping supply chain adaptability skills: figma wireframes xd prototyping,Design,UI/UX Designer
responsible for developing solutions using statistics slq excel powerbi pandas matplotlib logistics skills: statistics sql excel powerbi pandas matplotlib,Data Science,Data Analyst
worked on several projects involving wordpress grammar blogging seo communication skills: wordpress grammar blogging seo,Content,Content Writer
worked on several projects involving firebase xcode cocoa ui design swift content writing salesforce skills: firebase xcode cocoa ui design swift,Software Development,iOS Developer
worked on several projects involving pandas pyhton tensorflow keras sklearn numpy communication skills: pandas python tensorflow keras sklearn numpy,Data Science,ML Engineer
hands-on experience in switching vpn firewalls cisco content writing skills: switching vpn firewalls cisco,IT Infrastructure,Network Engineer
hands-on experience in slq rest linux docker salesforce presentation skills skills: sql rest linux docker,Software Development,Backend Developer
responsible for developing solutions using figma cs recat htlm tailwind typescript js content writing skills: figma css react html tailwind typescript js,Design,Frontend Developer
hands-on experience in jvaa kotlin android studio firebase xml content writing skills: java kotlin android studio firebase xml,Software Development,Android Developer
passionate about learning new technologies such as sklearn tensorflow pyhton numpy pandas presentation skills skills: sklearn tensorflow python numpy pandas,Data Science,ML Engineer
actively collaborated in team settings using figma wireframes prototyping xd user testing team player skills: figma wireframes prototyping xd user testing,Design,UI/UX Designer
worked on several projects involving htlm tailwind recat figma cs adaptability content writing skills: html tailwind react figma css,Design,Frontend Developer
passionate about learning new technologies such as forecasting excel budgeting erp adaptability skills: forecasting excel budgeting erp,Finance,Finance Analyst
passionate about learning new technologies such as financial modeling erp forecasting budgeting excel accounting skills: financial modeling erp forecasting budgeting excel,Finance,Finance Analyst
actively collaborated in team settings using copywriting wordpress grammar seo blogging salesforce skills: copywriting wordpress grammar seo blogging,Content,Content Writer
hands-on experience in android studio kotlin firebase jvaa attention to detail skills: android studio kotlin firebase java,Software Development,Android Developer
passionate about learning new technologies such as cs tailwind js figma typescript htlm critical thinking skills: css tailwind js figma typescript html,Design,Frontend Developer
passionate about learning new technologies such as numpy pandas pyhton keras sklearn logistics leadership skills: numpy pandas python keras sklearn,Data Science,ML Engineer
passionate about learning new technologies such as git rest docker linux slq django team player presentation skills skills: git rest docker linux sql django,Software Development,Backend Developer
passionate about learning new technologies such as junit manual testing postman bugzilla testng leadership skills: junit manual testing postman bugzilla testng,Software QA,QA Tester
passionate about learning new technologies such as pyhton slq rest linux docker django git adaptability skills: python sql rest linux docker django git,Software Development,Backend Developer
passionate about learning new technologies such as routing firewalls vpn cisco presentation skills accounting skills: routing firewalls vpn cisco,IT Infrastructure,Network Engineer
responsible for developing solutions using figma user testing prototyping xd logistics skills: figma user testing prototyping xd,Design,UI/UX Designer
hands-on experience in employee relations onboarding payroll hrms adaptability skills: employee relations onboarding payroll hrms,HR,HR Specialist
responsible for developing solutions using payroll recruitment employee relations hrms onboarding content writing problem solving skills: payroll recruitment employee relations hrms onboarding,HR,HR Specialist
worked on several projects involving xd prototyping user testing figma salesforce skills: xd prototyping user testing figma,Design,UI/UX Designer
passionate about learning new technologies such as xd prototyping user testing wireframes figma communication skills: xd prototyping user testing wireframes figma,Design,UI/UX Designer
passionate about learning new technologies such as xml firebase android studio kotlin jvaa problem solving presentation skills skills: xml firebase android studio kotlin java,Software Development,Android Developer
actively collaborated in team settings using numpy pandas pyhton sklearn keras adaptability presentation skills skills: numpy pandas python sklearn keras,Data Science,ML Engineer
actively collaborated in team settings using pyhton etl hadoop slq salesforce excel skills: python etl hadoop sql,Data Engineering,Data Engineer
responsible for developing solutions using node recat mongodb express typescript problem solving content writing skills: node react mongodb express typescript,Software Development,Full Stack Developer
hands-on experience in etl spark airflow hadoop slq critical thinking skills: etl spark airflow hadoop sql,Data Engineering,Data Engineer
actively collaborated in team settings using keras tensorflow numpy pyhton pandas sklearn supply chain critical thinking skills: keras tensorflow numpy python pandas sklearn,Data Science,ML Engineer
passionate about learning new technologies such as excel pandas statistics powerbi adaptability critical thinking skills: excel pandas statistics powerbi,Data Science,Data Analyst
responsible for developing solutions using pyhton tensorflow pandas keras sklearn numpy content writing skills: python tensorflow pandas keras sklearn numpy,Data Science,ML Engineer
responsible for developing solutions using forecasting financial modeling budgeting erp excel content writing skills: forecasting financial modeling budgeting erp excel,Finance,Finance Analyst
hands-on experience in hrms employee relations payroll recruitment onboarding presentation skills skills: hrms employee relations payroll recruitment onboarding,HR,HR Specialist
responsible for developing solutions using wireframes xd prototyping user testing attention to detail skills: wireframes xd prototyping user testing,Design,UI/UX Designer
responsible for developing solutions using swift cocoa ui design xcode firebase communication skills: swift cocoa ui design xcode firebase,Software Development,iOS Developer
passionate about learning new technologies such as xml android studio kotlin jvaa problem solving skills: xml android studio kotlin java,Software Development,Android Developer
passionate about learning new technologies such as pyhton etl hadoop airflow slq spark critical thinking accounting skills: python etl hadoop airflow sql spark,Data Engineering,Data Engineer
responsible for developing solutions using git slq rest django docker pyhton logistics adaptability skills: git sql rest django docker python,Software Development,Backend Developer
responsible for developing solutions using testng postman junit selenium presentation skills skills: testng postman junit selenium,Software QA,QA Tester
responsible for developing solutions using employee relations hrms payroll onboarding accounting excel skills: employee relations hrms payroll onboarding,HR,HR Specialist
responsible for developing solutions using cisco switching firewalls routing communication skills: cisco switching firewalls routing,IT Infrastructure,Network Engineer
passionate about learning new technologies such as spark etl slq pyhton hadoop airflow presentation skills skills: spark etl sql python hadoop airflow,Data Engineering,Data Engineer
passionate about learning new technologies such as onboarding hrms recruitment payroll employee relations leadership presentation skills skills: onboarding hrms recruitment payroll employee relations,HR,HR Specialist
actively collaborated in team settings using wordpress copywriting seo blogging problem solving skills: wordpress copywriting seo blogging,Content,Content Writer
passionate about learning new technologies such as user testing wireframes xd prototyping figma problem solving skills: user testing wireframes xd prototyping figma,Design,UI/UX Designer
worked on several projects involving recruitment hrms employee relations payroll onboarding leadership salesforce skills: recruitment hrms employee relations payroll onboarding,HR,HR Specialist
hands-on experience in routing cisco firewalls switching leadership team player skills: routing cisco firewalls switching,IT Infrastructure,Network Engineer
passionate about learning new technologies such as jenkins kubernetes docker aws linux ci/cd presentation skills skills: jenkins kubernetes docker aws linux ci/cd,IT Infrastructure,DevOps Engineer
passionate about learning new technologies such as seo wordpress copywriting blogging grammar salesforce content writing skills: seo wordpress copywriting blogging grammar,Content,Content Writer
hands-on experience in blogging grammar seo copywriting logistics content writing skills: blogging grammar seo copywriting,Content,Content Writer
passionate about learning new technologies such as typescript js htlm recat tailwind cs salesforce excel skills: typescript js html react tailwind css,Design,Frontend Developer
responsible for developing solutions using kotlin jvaa firebase android studio xml supply chain skills: kotlin java firebase android studio xml,Software Development,Android Developer
worked on several projects involving wordpress copywriting grammar seo supply chain content writing skills: wordpress copywriting grammar seo,Content,Content Writer
actively collaborated in team settings using pyhton numpy sklearn keras tensorflow pandas problem solving accounting skills: python numpy sklearn keras tensorflow pandas,Data Science,ML Engineer
hands-on experience in recruitment onboarding hrms payroll content writing salesforce skills: recruitment onboarding hrms payroll,HR,HR Specialist
worked on several projects involving employee relations hrms payroll onboarding recruitment excel problem solving skills: employee relations hrms payroll onboarding recruitment,HR,HR Specialist
actively collaborated in team settings using grammar blogging seo wordpress accounting skills: grammar blogging seo wordpress,Content,Content Writer
responsible for developing solutions using tensorflow keras sklearn numpy pandas salesforce presentation skills skills: tensorflow keras sklearn numpy pandas,Data Science,ML Engineer
passionate about learning new technologies such as prototyping xd user testing wireframes figma attention to detail adaptability skills: prototyping xd user testing wireframes figma,Design,UI/UX Designer
passionate about learning new technologies such as seo grammar copywriting blogging wordpress critical thinking skills: seo grammar copywriting blogging wordpress,Content,Content Writer
responsible for developing solutions using excel erp financial modeling budgeting forecasting leadership communication skills: excel erp financial modeling budgeting forecasting,Finance,Finance Analyst
worked on several projects involving bugzilla selenium testng junit excel skills: bugzilla selenium testng junit,Software QA,QA Tester
hands-on experience in slq excel matplotlib statistics powerbi excel communication skills: sql excel matplotlib statistics powerbi,Data Science,Data Analyst
passionate about learning new technologies such as wordpress blogging copywriting grammar logistics leadership skills: wordpress blogging copywriting grammar,Content,Content Writer
worked on several projects involving blogging seo grammar wordpress copywriting problem solving skills: blogging seo grammar wordpress copywriting,Content,Content Writer
actively collaborated in team settings using switching cisco vpn routing firewalls communication adaptability skills: switching cisco vpn routing firewalls,IT Infrastructure,Network Engineer
responsible for developing solutions using tensorflow pandas keras numpy pyhton logistics skills: tensorflow pandas keras numpy python,Data Science,ML Engineer
hands-on experience in user testing prototyping wireframes xd figma critical thinking skills: user testing prototyping wireframes xd figma,Design,UI/UX Designer
worked on several projects involving wireframes user testing prototyping xd attention to detail logistics skills: wireframes user testing prototyping xd,Design,UI/UX Designer
hands-on experience in spark pyhton hadoop airflow supply chain skills: spark python hadoop airflow,Data Engineering,Data Engineer
worked on several projects involving excel matplotlib slq statistics presentation skills adaptability skills: excel matplotlib sql statistics,Data Science,Data Analyst
passionate about learning new technologies such as firewalls routing switching cisco vpn excel supply chain skills: firewalls routing switching cisco vpn,IT Infrastructure,Network Engineer
worked on several projects involving employee relations onboarding hrms payroll logistics skills: employee relations onboarding hrms payroll,HR,HR Specialist
responsible for developing solutions using blogging copywriting seo grammar leadership content writing skills: blogging copywriting seo grammar,Content,Content Writer
responsible for developing solutions using git rest slq django pyhton critical thinking skills: git rest sql django python,Software Development,Backend Developer
responsible for developing solutions using airflow slq pyhton hadoop adaptability supply chain skills: airflow sql python hadoop,Data Engineering,Data Engineer
responsible for developing solutions using swift xcode ui design firebase cocoa presentation skills skills: swift xcode ui design firebase cocoa,Software Development,iOS Developer
passionate about learning new technologies such as employee relations hrms onboarding payroll logistics team player skills: employee relations hrms onboarding payroll,HR,HR Specialist
hands-on experience in typescript figma tailwind js leadership skills: typescript figma tailwind js,Design,Frontend Developer
worked on several projects involving onboarding hrms payroll employee relations adaptability skills: onboarding hrms payroll employee relations,HR,HR Specialist
actively collaborated in team settings using erp excel forecasting financial modeling content writing communication skills: erp excel forecasting financial modeling,Finance,Finance Analyst
passionate about learning new technologies such as postman bugzilla junit manual testing content writing problem solving skills: postman bugzilla junit manual testing,Software QA,QA Tester
passionate about learning new technologies such as mongodb typescript docker recat express content writing skills: mongodb typescript docker react express,Software Development,Full Stack Developer
hands-on experience in selenium testng bugzilla postman junit problem solving skills: selenium testng bugzilla postman junit,Software QA,QA Tester
responsible for developing solutions using express docker node mongodb typescript recat critical thinking logistics skills: express docker node mongodb typescript react,Software Development,Full Stack Developer
worked on several projects involving payroll recruitment onboarding employee relations hrms supply chain skills: payroll recruitment onboarding employee relations hrms,HR,HR Specialist
hands-on experience in blogging seo grammar wordpress logistics skills: blogging seo grammar wordpress,Content,Content Writer
actively collaborated in team settings using wireframes user testing figma xd prototyping communication skills: wireframes user testing figma xd prototyping,Design,UI/UX Designer
passionate about learning new technologies such as rest git pyhton slq linux docker django supply chain adaptability skills: rest git python sql linux docker django,Software Development,Backend Developer
passionate about learning new technologies such as manual testing testng selenium bugzilla problem solving salesforce skills: manual testing testng selenium bugzilla,Software QA,QA Tester
passionate about learning new technologies such as prototyping user testing wireframes figma team player salesforce skills: prototyping user testing wireframes figma,Design,UI/UX Designer
responsible for developing solutions using payroll onboarding hrms recruitment critical thinking skills: payroll onboarding hrms recruitment,HR,HR Specialist
actively collaborated in team settings using django linux git rest attention to detail skills: django linux git rest,Software Development,Backend Developer
actively collaborated in team settings using onboarding employee relations recruitment payroll hrms supply chain skills: onboarding employee relations recruitment payroll hrms,HR,HR Specialist
passionate about learning new technologies such as employee relations hrms onboarding recruitment payroll supply chain leadership skills: employee relations hrms onboarding recruitment payroll,HR,HR Specialist
hands-on experience in routing firewalls switching cisco critical thinking communication skills: routing firewalls switching cisco,IT Infrastructure,Network Engineer
passionate about learning new technologies such as grammar seo copywriting wordpress blogging problem solving excel skills: grammar seo copywriting wordpress blogging,Content,Content Writer
actively collaborated in team settings using xd figma wireframes user testing prototyping critical thinking skills: xd figma wireframes user testing prototyping,Design,UI/UX Designer
responsible for developing solutions using docker git rest django slq pyhton adaptability skills: docker git rest django sql python,Software Development,Backend Developer
worked on several projects involving js recat typescript cs htlm tailwind logistics communication skills: js react typescript css html tailwind,Design,Frontend Developer
responsible for developing solutions using slq pandas powerbi excel matplotlib statistics salesforce supply chain skills: sql pandas powerbi excel matplotlib statistics,Data Science,Data Analyst
hands-on experience in pandas slq excel statistics matplotlib powerbi presentation skills attention to detail skills: pandas sql excel statistics matplotlib powerbi,Data Science,Data Analyst
actively collaborated in team settings using docker rest django git linux pyhton adaptability skills: docker rest django git linux python,Software Development,Backend Developer
hands-on experience in matplotlib slq pandas statistics adaptability critical thinking skills: matplotlib sql pandas statistics,Data Science,Data Analyst
actively collaborated in team settings using pyhton tensorflow pandas numpy sklearn keras critical thinking skills: python tensorflow pandas numpy sklearn keras,Data Science,ML Engineer
hands-on experience in xd wireframes user testing prototyping leadership presentation skills skills: xd wireframes user testing prototyping,Design,UI/UX Designer
responsible for developing solutions using wireframes user testing xd prototyping figma content writing skills: wireframes user testing xd prototyping figma,Design,UI/UX Designer
hands-on experience in django rest docker git pyhton slq linux problem solving skills: django rest docker git python sql linux,Software Development,Backend Developer
